citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Rossor2023Toxicneuropathies,article,Toxic neuropathies.,2023,Curr Opin Neurol,36,5,402-409,10.1097/WCO.0000000000001193,37639472,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/37639472/
Paton2023TreatmentStrategyforRifampinSus,article,Treatment Strategy for Rifampin-Susceptible Tuberculosis.,2023,N Engl J Med,388,10,873-887,10.1056/NEJMoa2212537,36808186,bedaquiline-safety-qtc; linezolid-toxicity; thesis-body,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/36808186/
Conley2023Whatarethecorerecommendationsf,article,What are the core recommendations for rheumatoid arthritis care? Systematic review of clinical practice guidelines.,2023,Clin Rheumatol,42,9,2267-2278,10.1007/s10067-023-06654-0,37291382,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/37291382/
ZohaibAli2024AmodifiedBPaLregimenfortube,article,A modified BPaL regimen for tuberculosis treatment replaces linezolid with inhaled spectinamides.,2024,Elife,13,,,10.7554/eLife.96190,39378165,bedaquiline-safety-qtc; linezolid-toxicity; thesis-body,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/39378165/
Xiao2024AdvancementsinTargetingMacrophag,article,Advancements in Targeting Macrophage Senescence for Age-Associated Conditions.,2024,Aging Dis,16,4,2201-2236,10.14336/AD.2024.0720,39500353,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/39500353/
Zou2024Adversedrugeventsassociatedwithli,article,Adverse drug events associated with linezolid administration: a real-world pharmacovigilance study from 2004 to 2023 using the FAERS database.,2024,Front Pharmacol,15,,1338902,10.3389/fphar.2024.1338902,38434706,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/38434706/
Akerman2024Crosssectionalandlongitudinal,article,Cross-sectional and longitudinal genotype to phenotype surveillance of SARS-CoV-2 variants over the first four years of the COVID-19 pandemic.,2024,EBioMedicine,110,,105415,10.1016/j.ebiom.2024.105415,39549677,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/39549677/
Farhat2024Drugresistanttuberculosisapers,article,Drug-resistant tuberculosis: a persistent global health concern.,2024,Nat Rev Microbiol,22,10,617-635,10.1038/s41579-024-01025-1,38519618,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/38519618/
Wang2024Effectofdisulfidptosisrelatedgen,article,"Effect of disulfidptosis-related genes SLC3A2, SLC7A11 and FLNB polymorphisms on risk of autoimmune thyroiditis in a Chinese population.",2024,Int Immunopharmacol,129,,111605,10.1016/j.intimp.2024.111605,38316082,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/38316082/
Korotych2024Effectivenessandsafetyofmodi,article,Effectiveness and safety of modified fully oral 9-month treatment regimens for rifampicin-resistant tuberculosis: a prospective cohort study.,2024,Lancet Infect Dis,24,10,1151-1161,10.1016/S1473-3099(24)00228-7,38880112,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/38880112/
